Time,Count

120.0158543586731,11

240.0236029624939,20

360.00374698638916,23

480.02620792388916,21

600.0127387046814,21

720.0125877857208,23

840.0031585693359,20

960.0320935249329,21

1080.0056059360504,23

1200.028308391571,20

1320.0000162124634,24

1440.0003142356873,20

1560.015302181244,21

1680.013084411621,23

1800.0206608772278,20

1920.02281332016,21

2040.0290114879608,23

2160.0157449245453,20

2280.010404586792,22

2400.0089104175568,22

2520.005033016205,20

2640.0281817913055,24

2760.000680923462,20

2880.0198159217834,21

3000.0069279670715,23

3120.0084071159363,20

3240.02925658226,20

3360.0136370658875,17

4118.142138004303,4

3600.025327682495,19

3720.0328381061554,16

3840.042708158493,13

3960.0469477176666,15

4080.045800447464,16

4200.000844240189,12

4320.0277280807495,16

4440.03698682785,16

4560.040009021759,13

4680.047062397003,15

4800.047427892685,13

4920.046848535538,15

5040.046974182129,16

5160.04702091217,13

5280.041352748871,15

5400.002626657486,16

5520.01735329628,13

5640.026750564575,15

6956.377385854721,12

5880.009671211243,16

6000.010617494583,16

6120.012324094772,13

6240.027685403824,15

6360.000719547272,16

6480.0648102760315,13

6600.015981912613,15

6720.024831533432,12

6840.067234992981,13

6960.045476675034,15

7080.014795541763,13

7200.058319807053,16

7320.016353130341,15

7440.019525766373,16

7560.000267028809,16

7680.034499168396,12

7800.017315626144,16

7920.013790130615,16

8040.0459225177765,12

8160.015489578247,16

8280.041063785553,13

8400.028403043747,15

8520.020437717438,16

8640.043256044388,13

8760.023319482803,15

8880.002717733383,16

9000.040077209473,16

9120.044622182846,12

9240.00787782669,16

9360.022634267807,16

9480.012597322464,13

9600.002823591232,15

9720.04657125473,16

9840.008271694183,16

9960.024496078491,13

10080.003598690033,15

10200.028831243515,16

10320.0436398983,13

10440.014945745468,15

10560.045954942703,13

10680.046835422516,15

